t,accelerometerX,accelerometerY,accelerometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,label,dt,dt_seconds,session_break,session_id
0 days 00:01:01.138720972,-4.2,12.139999,-0.35999998,0.24,-0.17999999,-0.08,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:01.158720972,-4.3549999,10.654999499999999,-0.35499999000000004,0.24,-0.089999995,-0.08,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:01.178720972,-4.5099998,9.17,-0.35000000000000003,0.24,0.0,-0.08,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:01.198720972,-4.02,9.34,-0.19,0.16,0.03,-0.06,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:01.218720972,-4.13,9.25,-0.04,0.16,0.03,-0.06,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:01.238720972,-4.37,9.24,-0.03,0.14,0.015,-0.065,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:01.258720972,-4.61,9.23,-0.02,0.12,0.0,-0.07,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:01.278720972,-4.61,9.23,-0.02,0.14,-0.06,-0.049999997000000004,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:01.298720972,-4.52,9.15,-0.39,0.14,-0.06,-0.049999997000000004,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:01.318720972,-4.16,9.62,0.06,0.12,0.04,0.03,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:01.338720972,-4.155,9.295,-0.035,0.109999997,0.0049999999999999975,0.05,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:01.358720972,-4.15,8.97,-0.13,0.09999999400000001,-0.03,0.07,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:01.378720972,-4.27,8.59,-0.42999998,0.19,-0.07,0.02,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:01.398720972,-4.27,8.59,-0.42999998,0.17999999,0.01,-0.03,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:01.418720972,-4.35,8.5199995,-0.35000000000000003,0.17999999,0.01,-0.03,STANDING,0 days 00:00:00.020000,0.02,False,0
